#	姓名	英文名	生卒	主导职业	研究领域	奖项	标签
31	Ernst Witt	Ernst Witt		数学家	mathematics		Witt 环与Witt向量的创造者、PBW 定理的 W、二次型理论的代数大师
32	R.A. Fisher	R.A. Fisher		数学家	genetics；statistics		现代统计学的数学奠基人、极大似然估计与方差分析的创立者、实验设计之父
33	Claude Shannon	Claude Shannon		数学家	cryptography；cybernetics；electrical engineering；information theory；probability theory		信息论之父、通信数学的创立者、信息时代的理论奠基人
34	Igor Shafarevich	Igor Shafarevich		数学家	Galois theory；algebra；algebraic geometry；dissent；history of socialism；mathematics；number theory		代数数论与代数几何的苏联支柱、Shafarevich群的创立者、莫斯科学派的守护者
35	Vladimir Arnold	Vladimir Arnold		数学家	algebraic geometry；chaos theory；differential calculus；dynamical systems；mathematical analysis；mathematics；mechanics；topology	沃尔夫数学奖 2001	KAM理论与辛拓扑的创立者之一、动力系统与奇点理论的革命者、Arnold扩散的发现者
36	David Mumford	David Mumford		数学家	algebraic geometry	菲尔兹奖 1974；沃尔夫数学奖 2008	Fields奖得主、几何不变量理论与模空间的创立者、代数几何与计算机视觉的跨界先驱
37	Jean Leray	Jean Leray		数学家	mathematical analysis；partial differential equation；topology	沃尔夫数学奖 1979	谱序列与层论的发现者、Leray–Schauder不动点理论、偏微分拓扑的先驱
38	Samuel Eilenberg	Samuel Eilenberg		数学家	collecting；mathematics；topology；visual arts	沃尔夫数学奖 1986	范畴论与代数拓扑的共同创始人、Eilenberg–MacLane空间的创立者、同调代数的奠基人
39	Saunders Mac Lane	Saunders Mac Lane		数学家	abstract algebra；algebra；category theory；cohomology；mathematics		范畴论的共同创始人、同调代数系统化的缔造者、《范畴论工作者》的作者
40	Atle Selberg	Atle Selberg		数学家	number theory	菲尔兹奖 1950；沃尔夫数学奖 1986	Selberg迹公式的创立者、解析数论的巨人、Fields奖与Abel奖得主
41	Carl Ludwig Siegel	Carl Ludwig Siegel		数学家	celestial mechanics；function theory；mathematics；number theory	沃尔夫数学奖 1978	数论与模形式的巨人、天体力学大师、20世纪最博学的数学家之一
42	Lars Ahlfors	Lars Ahlfors		数学家	complex analysis；function theory；mathematical analysis；mathematics	菲尔兹奖 1936；沃尔夫数学奖 1981	复分析大师、首届Fields奖得主、Ahlfors–Bers理论的创立者
43	Rolf Nevanlinna	Rolf Nevanlinna		数学家	complex analysis；mathematics		Nevanlinna值分布理论的创立者、复分析芬兰学派的领袖、ICMI主席
44	Sergei Sobolev	Sergei Sobolev		数学家	Sobolev space；computational mathematics；differential calculus；distribution function；functional analysis；mathematical analysis；mathematical physics；mathematics；partial differential equation		Sobolev空间的创立者、现代PDE理论的语法奠基人、分布理论的先驱
45	Lars Hörmander	Lars Hörmander		数学家	mathematics；partial differential equation	菲尔兹奖 1962；沃尔夫数学奖 1988	线性偏微分算子理论的集大成者、微局部分析的创立者、Fields奖得主
46	Stephen Smale	Stephen Smale		数学家	differential geometry；topology	菲尔兹奖 1966；沃尔夫数学奖 2007	高维Poincaré猜想的证明者、动力系统与经济学数学的先驱、Fields奖得主
47	Mikhail Gromov	Mikhail Gromov		数学家	geometry；group theory；topology	沃尔夫数学奖 1993；阿贝尔奖 2009	几何群论的创立者、辛拓扑与度量几何的革命者、Wolf奖与Abel奖得主
48	Harish-Chandra	Harish-Chandra		数学家	Lie group；harmonic analysis；mathematics；physics；representation theory		半单李群表示论的创立者、Harish-Chandra模与Plancherel公式、Langlands纲领的先驱
49	Jacques-Louis Lions	Jacques-Louis Lions		数学家	mathematical analysis；mathematics；numerical analysis；partial differential equation；stochastic process		变分法与偏微分方程的大师、分布控制理论的创立者、法国应用数学的奠基人
50	Vladimir Voevodsky	Vladimir Voevodsky		数学家	Galois theory；algebraic geometry；foundations of mathematics；topology	菲尔兹奖 2002	A1同伦论的创立者、代数簇motivic上同调的构造者、Fields奖得主
51	盖尔范德	I.M. Gelfand		数学家	functional analysis；geometry；mathematical analysis；representation theory	沃尔夫数学奖 1978	泛函分析、表示论、积分几何的超级大师，Gelfand 学派的灵魂人物
52	高木贞治	Takagi Teiji		数学家	number theory		类域论的创立者，Takagi 存在定理——20 世纪数论的最高成就之一
53	小平邦彦	Kodaira Kunihiko		数学家	algebra；algebraic geometry；geometry	菲尔兹奖 1954；沃尔夫数学奖 1984	复流形与代数几何的日本巨匠，Kodaira 消灭定理，Fields 奖
54	莱夫谢茨	Solomon Lefschetz		数学家	algebra；algebraic geometry；geometry；topology	沃尔夫数学奖 1978	拓扑学方法引入代数几何，普林斯顿数学王朝的缔造者
55	托姆	René Thom		数学家	cobordism theory；singularity theory	菲尔兹奖 1958	配边理论与突变论的创立者，Fields 奖
56	维纳	Norbert Wiener		数学家	applied mathematics；cybernetics；informatics；mathematics；philosophy；probability theory；stochastic process		控制论之父，Wiener 过程——数学向工程与生物扩散的枢纽
57	拉马努金	Srinivasa Ramanujan		数学家	combinatorics；mathematician；number theory		印度天才，mock theta 函数，直觉穿越时代的数学家
58	赫克	Erich Hecke		数学家	number theory；operator theory		Hecke 算子，模形式理论的奠基人，Langlands 纲领的数学源头
59	策梅罗	Ernst Zermelo		数学家	algebra		ZFC 公理体系——现代数学大厦最深层的地基之一
60	闵可夫斯基	Hermann Minkowski		数学家	geometry		数的几何，Minkowski 时空——理论物理的关键数学语言
61	庞特里亚金	Lev Pontryagin		数学家	topology		Pontryagin 示性类、Pontryagin 对偶——拓扑学的核心工具
62	伯克霍夫	G.D. Birkhoff		数学家	ergodic theory		美国第一位真正有国际声誉的数学家，遍历理论开创者
63	布饶尔	Richard Brauer		数学家	algebra；number theory；representation theory		Brauer 群、模表示论——有限群与代数数论的双重大师
64	舒尔	Issai Schur		数学家	combinatorics；representation theory		Schur 引理、Schur 函数——表示论与组合学的基础语言
65	马尔可夫	Andrey Markov		数学家	Markov process；mathematical analysis；mathematics；number theory；probability theory；stochastic process		Markov 过程——概率论中最广泛应用的核心概念之一
66	列维	Paul Lévy		数学家	mathematical analysis；probability theory		Lévy 过程、Lévy 稳定分布——随机分析的基础构件
67	范德瓦尔登	B.L. van der Waerden		数学家	algebra；algebraic geometry；geometry		《代数学》定义了 20 世纪的代数教科书，代数几何先驱
68	博雷尔	Émile Borel		数学家	measure theory；probability theory		Borel 测度、Borel 集——现代测度论与概率论的基本语言
69	小嘉当	Henri Cartan		数学家	algebra；homological algebra	沃尔夫数学奖 1980	布尔巴基核心成员，同调代数与层论的早期推动者
70	阿达玛	Jacques Hadamard		数学家	analytic function；functional analysis；mathematics；mechanics；number theory；partial differential equation；theoretical mechanics		素数定理的证明者，Hadamard积→深度学习反向传播，泛函分析与偏微分方程的先驱
71	兰道	Edmund Landau		数学家	algebra；number theory		解析数论大师，以简洁方法推广素数定理至代数数域
72	志村五郎	Shimura Goro		数学家	algebraic geometry；number theory		志村簇、谷山–志村猜想——攻克 Fermat 大定理的关键桥梁
73	弗雷德霍姆	Erik Ivar Fredholm		数学家	functional analysis；integral equations；mathematical analysis；operator theory		Fredholm 算子与积分方程理论——泛函分析的起点之一
74	罗素	Bertrand Russell		数学家	mathematical logic	诺贝尔文学奖 1950	数理逻辑，《数学原理》——20 世纪数学基础工程的里程碑
75	斯科伦	Thoralf Skolem		数学家	mathematical logic		Löwenheim–Skolem 定理——数理逻辑与模型论的奠基人
76	克鲁尔	Wolfgang Krull		数学家	algebra；topology		Krull 维数、Krull 拓扑——交换代数的核心概念创造者
77	泰希缪勒	Oswald Teichmüller		数学家	algebra；algebraic geometry；complex analysis；geometry；mathematical analysis		Teichmüller 空间——复分析与代数几何之间的桥梁
78	皮卡	Émile Picard		数学家	complex analysis；mathematical analysis		Picard 定理——复分析值分布理论的开创者
79	博赫纳	Salomon Bochner		数学家	differential geometry；geometry；mathematical analysis		Bochner 技巧——微分几何与分析的深度连接
80	卡拉泰奥多里	Constantin Carathéodory		数学家	measure theory		Carathéodory 条件——测度论的一条优雅进路
81	怀特海	A.N. Whitehead		数学家	algebra；mathematical logic；philosophy		与 Russell 合著《数学原理》，过程哲学的创始人
82	康托尔	Georg Cantor		数学家	set theory		集合论创始人——19 世纪的思想，20 世纪数学的语言基石
83	戴德金	Richard Dedekind		数学家	algebra；number theory		Dedekind 分割、Dedekind 环——代数数论语言的创造者之一
84	克莱因	Felix Klein		数学家	algebraic equation；differential geometry；education；function theory；geometry；group theory；mathematics		爱尔兰根纲领——用群论统一几何学的伟大视野
85	西奈	Yakov Sinai		数学家	dynamical systems；statistical mechanics；statistics	沃尔夫数学奖 1997；阿贝尔奖 2014	动力系统与统计力学的数学基础，混沌理论的先驱
86	吉洪诺夫	Andrey Tikhonov		数学家	mathematical analysis；numerical analysis		Tikhonov 正则化——反问题理论与数值分析的核心工具
87	鲁津	Nikolai Luzin		数学家	set theory		莫斯科数学学派的奠基者，描述集合论的开创人
88	亚历山德罗夫	Pavel Alexandroff		数学家	topology		Alexandroff 紧化——点集拓扑学的核心构造
89	华罗庚	Hua Loo-Keng		数学家	algebra；geometry；number theory		解析数论、多复变、矩阵几何——中国现代数学的旗帜性人物
90	中山正	Nakayama Tadashi		数学家	algebra；representation theory		中山引理——交换代数与表示论中最常用的基本工具之一
91	佐藤幹夫	Sato Mikio		数学家	algebra；mathematical analysis	沃尔夫数学奖 2003	代数分析（D-模理论）、Sato 超函数——日本数学的独特贡献
92	林德洛夫	Ernst Lindelöf		数学家	topology		Lindelöf 空间、Lindelöf 原理——拓扑学的基本概念
93	佩龙	Oskar Perron		数学家	matrix theory；number theory		Perron–Frobenius 定理——正矩阵与非负矩阵理论的基石
94	戈丁	Lars Gårding		数学家	partial differential equations		Gårding 不等式——偏微分方程理论的基础工具
95	若尔当	Camille Jordan		数学家	algebra；topology		Jordan 闭曲线定理、Jordan 标准形——19 世纪拓扑学与代数的先驱
96	达布	Jean Gaston Darboux		数学家	mathematical analysis		Darboux 定理——19 世纪数学分析的基础贡献
97	伯恩斯坦	Felix Bernstein		数学家	set theory		Bernstein 定理——集合论中两个无穷集合等势判定的基本工具
98	塔克	Albert W. Tucker		数学家	game theory		Tucker 均衡、囚徒困境——博弈论的数学基础推动者
99	维诺格拉多夫	Ivan Vinogradov		数学家	number theory		三素数定理——解析数论中 Goldbach 猜想方向的经典突破
100	林尼克	Yuri Linnik		数学家	number theory		苏联解析数论学派的核心人物
101	彼得罗夫斯基	Ivan Petrovsky		数学家	partial differential equations		偏微分方程理论的重要贡献者
102	罗赫林	Vladimir Rokhlin		数学家	dynamical systems；topology		苏联拓扑学与动力系统学家
103	卡尔曼	Torsten Carleman		数学家	mathematical analysis		Carleman 不等式与线性化——瑞典分析学派
104	苏斯林	Mikhail Suslin		数学家	set theory		Suslin 问题——描述集合论的早期推动者
105	齐曼	E.C. Zeeman		数学家	topology		英国拓扑学家，突变论的重要推广者
106	福原满洲雄	Fukuhara Masuo		数学家	mathematics		日本数学家 (1905–2007)
107	理查德·贝尔曼	Richard Bellman		数学家	applied mathematics；control theory；mathematical biology；mathematics；optimization method		动态规划之父，Bellman 方程，最优控制理论先驱 (1920–1984)
108	格雷姆·西格尔	Graeme Segal		数学家	topology	陈省身奖章 2026	Atiyah–Segal完备化定理、Segal猜想（同伦论）、椭圆上同调与TQFT先驱——架起拓扑学、数学物理、表示论与范畴论的桥梁，Chern Medal 2026 (1941–)
