#	姓名	英文名	生卒	主导职业	研究领域	奖项	标签
61	庞特里亚金	Lev Pontryagin		数学家	topology		Pontryagin 示性类、Pontryagin 对偶——拓扑学的核心工具
62	伯克霍夫	G.D. Birkhoff		数学家	ergodic theory		美国第一位真正有国际声誉的数学家，遍历理论开创者
63	布饶尔	Richard Brauer		数学家	algebra；number theory；representation theory		Brauer 群、模表示论——有限群与代数数论的双重大师
64	舒尔	Issai Schur		数学家	combinatorics；representation theory		Schur 引理、Schur 函数——表示论与组合学的基础语言
65	马尔可夫	Andrey Markov		数学家	Markov process；mathematical analysis；mathematics；number theory；probability theory；stochastic process		Markov 过程——概率论中最广泛应用的核心概念之一
66	列维	Paul Lévy		数学家	mathematical analysis；probability theory		Lévy 过程、Lévy 稳定分布——随机分析的基础构件
67	范德瓦尔登	B.L. van der Waerden		数学家	algebra；algebraic geometry；geometry		《代数学》定义了 20 世纪的代数教科书，代数几何先驱
68	博雷尔	Émile Borel		数学家	measure theory；probability theory		Borel 测度、Borel 集——现代测度论与概率论的基本语言
69	小嘉当	Henri Cartan	1904–2008	数学家	algebra；homological algebra	沃尔夫数学奖 1980	布尔巴基核心成员，同调代数与层论的早期推动者
70	阿达玛	Jacques Hadamard		数学家	analytic function；functional analysis；mathematics；mechanics；number theory；partial differential equation；theoretical mechanics		素数定理的证明者，Hadamard积→深度学习反向传播，泛函分析与偏微分方程的先驱
71	兰道	Edmund Landau		数学家	algebra；number theory		解析数论大师，以简洁方法推广素数定理至代数数域
72	志村五郎	Shimura Goro		数学家	algebraic geometry；number theory		志村簇、谷山–志村猜想——攻克 Fermat 大定理的关键桥梁
73	弗雷德霍姆	Erik Ivar Fredholm		数学家	functional analysis；integral equations；mathematical analysis；operator theory		Fredholm 算子与积分方程理论——泛函分析的起点之一
74	罗素	Bertrand Russell		数学家	mathematical logic	诺贝尔文学奖 1950	数理逻辑，《数学原理》——20 世纪数学基础工程的里程碑
75	斯科伦	Thoralf Skolem		数学家	mathematical logic		Löwenheim–Skolem 定理——数理逻辑与模型论的奠基人
76	克鲁尔	Wolfgang Krull		数学家	algebra；topology		Krull 维数、Krull 拓扑——交换代数的核心概念创造者
77	泰希缪勒	Oswald Teichmüller		数学家	algebra；algebraic geometry；complex analysis；geometry；mathematical analysis		Teichmüller 空间——复分析与代数几何之间的桥梁
78	皮卡	Émile Picard		数学家	complex analysis；mathematical analysis		Picard 定理——复分析值分布理论的开创者
79	博赫纳	Salomon Bochner		数学家	differential geometry；geometry；mathematical analysis		Bochner 技巧——微分几何与分析的深度连接
80	卡拉泰奥多里	Constantin Carathéodory		数学家	measure theory		Carathéodory 条件——测度论的一条优雅进路
81	怀特海	A.N. Whitehead		数学家	algebra；mathematical logic；philosophy		与 Russell 合著《数学原理》，过程哲学的创始人
82	康托尔	Georg Cantor		数学家	set theory		集合论创始人——19 世纪的思想，20 世纪数学的语言基石
83	戴德金	Richard Dedekind		数学家	algebra；number theory		Dedekind 分割、Dedekind 环——代数数论语言的创造者之一
84	克莱因	Felix Klein		数学家	algebraic equation；differential geometry；education；function theory；geometry；group theory；mathematics		爱尔兰根纲领——用群论统一几何学的伟大视野
85	西奈	Yakov Sinai	1935–?	数学家	dynamical systems；statistical mechanics；statistics	沃尔夫数学奖 1996；阿贝尔奖 2014	动力系统与统计力学的数学基础，混沌理论的先驱
86	吉洪诺夫	Andrey Tikhonov		数学家	mathematical analysis；numerical analysis		Tikhonov 正则化——反问题理论与数值分析的核心工具
87	鲁津	Nikolai Luzin		数学家	set theory		莫斯科数学学派的奠基者，描述集合论的开创人
88	亚历山德罗夫	Pavel Alexandroff		数学家	topology		Alexandroff 紧化——点集拓扑学的核心构造
89	华罗庚	Hua Loo-Keng		数学家	algebra；geometry；number theory		解析数论、多复变、矩阵几何——中国现代数学的旗帜性人物
90	中山正	Nakayama Tadashi		数学家	algebra；representation theory		中山引理——交换代数与表示论中最常用的基本工具之一
91	佐藤幹夫	Sato Mikio	1928–2023	数学家	algebra；mathematical analysis	沃尔夫数学奖 2002	代数分析（D-模理论）、Sato 超函数——日本数学的独特贡献
92	林德洛夫	Ernst Lindelöf		数学家	topology		Lindelöf 空间、Lindelöf 原理——拓扑学的基本概念
93	佩龙	Oskar Perron		数学家	matrix theory；number theory		Perron–Frobenius 定理——正矩阵与非负矩阵理论的基石
94	戈丁	Lars Gårding		数学家	partial differential equations		Gårding 不等式——偏微分方程理论的基础工具
95	若尔当	Camille Jordan		数学家	algebra；topology		Jordan 闭曲线定理、Jordan 标准形——19 世纪拓扑学与代数的先驱
96	达布	Jean Gaston Darboux		数学家	mathematical analysis		Darboux 定理——19 世纪数学分析的基础贡献
97	伯恩斯坦	Felix Bernstein		数学家	set theory		Bernstein 定理——集合论中两个无穷集合等势判定的基本工具
98	塔克	Albert W. Tucker		数学家	game theory		Tucker 均衡、囚徒困境——博弈论的数学基础推动者
99	维诺格拉多夫	Ivan Vinogradov		数学家	number theory		三素数定理——解析数论中 Goldbach 猜想方向的经典突破
100	林尼克	Yuri Linnik		数学家	number theory		苏联解析数论学派的核心人物
101	彼得罗夫斯基	Ivan Petrovsky		数学家	partial differential equations		偏微分方程理论的重要贡献者
102	罗赫林	Vladimir Rokhlin		数学家	dynamical systems；topology		苏联拓扑学与动力系统学家
103	卡尔曼	Torsten Carleman		数学家	mathematical analysis		Carleman 不等式与线性化——瑞典分析学派
104	苏斯林	Mikhail Suslin		数学家	set theory		Suslin 问题——描述集合论的早期推动者
105	齐曼	E.C. Zeeman		数学家	topology		英国拓扑学家，突变论的重要推广者
106	福原满洲雄	Fukuhara Masuo		数学家	mathematics		日本数学家 (1905–2007)
107	理查德·贝尔曼	Richard Bellman		数学家	applied mathematics；control theory；mathematical biology；mathematics；optimization method		动态规划之父，Bellman 方程，最优控制理论先驱 (1920–1984)
108	格雷姆·西格尔	Graeme Segal		数学家	topology	陈省身奖章 2026	Atiyah–Segal完备化定理、Segal猜想（同伦论）、椭圆上同调与TQFT先驱——架起拓扑学、数学物理、表示论与范畴论的桥梁，Chern Medal 2026 (1941–)
	Adi Shamir	Adi Shamir	1952–?	数学家		图灵奖 2002；沃尔夫数学奖 2024	
	Akshay Venkatesh	Akshay Venkatesh	1981–?	数学家		菲尔兹奖 2018	
	Alain Connes	Alain Connes	1947–?	数学家		菲尔兹奖 1982	
	Alan Baker	Alan Baker	1939–2018	数学家		菲尔兹奖 1970	
	Alan J. Perlis	Alan J. Perlis	1922–1990	计算机科学家		图灵奖 1966	
	Alan Kay	Alan Kay	1940–?	计算机科学家		图灵奖 2003	
	Alberto Calderón	Alberto Calderón	1920–1998	数学家		沃尔夫数学奖 1989	
	Alessio Figalli	Alessio Figalli	1984–?	数学家		菲尔兹奖 2018	
	Alexander Beilinson	Alexander Beilinson	1957–?	数学家		沃尔夫数学奖 2018	
	Alfred Aho	Alfred Aho	1941–?	计算机科学家		图灵奖 2020	
	Allen Newell	Allen Newell	1927–1992	计算机科学家		图灵奖 1975	
	Amir Pnueli	Amir Pnueli	1941–2009	计算机科学家		图灵奖 1996	
	Andrei Okounkov	Andrei Okounkov	1969–?	数学家		菲尔兹奖 2006	
	Andrew Barto	Andrew Barto	1948–?	计算机科学家		图灵奖 2024	
	Andrew Gelman	Andrew Gelman	1965–?	统计学家		考普斯会长奖 2003	
	Andrew Wiles	Andrew Wiles	1953–?	数学家		沃尔夫数学奖 1995；阿贝尔奖 2016	
	Andrew Yao	Andrew Yao	1946–?	计算机科学家		图灵奖 2000	
	Artur Avila	Artur Avila	1979–?	数学家		菲尔兹奖 2014	
	Avi Wigderson	Avi Wigderson	1956–?	数学家		阿贝尔奖 2021；图灵奖 2023	
	Barbara Liskov	Barbara Liskov	1939–?	计算机科学家		图灵奖 2008	
	Barry Mazur	Barry Mazur		数学家		陈省身奖章 2022	
	Bernard Silverman	Bernard Silverman	1952–?	统计学家		考普斯会长奖 1991	
	Butler W. Lampson	Butler W. Lampson	1943–?	计算机科学家		图灵奖 1992	
	C. F. Jeff Wu	C. F. Jeff Wu	1949–?	统计学家		考普斯会长奖 1987	
	Caucher Birkar	Caucher Birkar	1978–?	数学家		菲尔兹奖 2018	
	Cedric Villani	Cedric Villani	1973–?	数学家		菲尔兹奖 2010	
	Charles Fefferman	Charles Fefferman	1949–?	数学家		菲尔兹奖 1978；沃尔夫数学奖 2017	
	Charles H. Bennett	Charles H. Bennett	1943–?	计算机科学家		图灵奖 2025	
	Charles P. Thacker	Charles P. Thacker	1943–2017	计算机科学家		图灵奖 2009	
	Charles W. Bachman	Charles W. Bachman	1924–2017	计算机科学家		图灵奖 1973	
	Curtis T. McMullen	Curtis T. McMullen	1958–?	数学家		菲尔兹奖 1998	
	Dana Scott	Dana Scott	1932–?	计算机科学家		图灵奖 1976	
	Daniel Quillen	Daniel Quillen	1940–2011	数学家		菲尔兹奖 1978	
	Daniela Witten	Daniela Witten	1984–?	统计学家		考普斯会长奖 2022	
	David A. Patterson	David A. Patterson	1947–?	计算机科学家		图灵奖 2017	
	David Dunson	David Dunson	1972–?	统计学家		考普斯会长奖 2010	
	David L. Donoho	David L. Donoho	1957–?	统计学家		考普斯会长奖 1994	
	David V. Hinkley	David V. Hinkley	1944–?	统计学家		考普斯会长奖 1984	
	Dennis Ritchie	Dennis Ritchie	1941–2011	计算机科学家		图灵奖 1983	
	Dennis Sullivan	Dennis Sullivan	1941–?	数学家		沃尔夫数学奖 2010；阿贝尔奖 2022	
	Donald E. Knuth	Donald E. Knuth	1938–?	计算机科学家		图灵奖 1974	
	Douglas Engelbart	Douglas Engelbart	1925–2013	计算机科学家		图灵奖 1997	
	E. Allen Emerson	E. Allen Emerson	1954–?	计算机科学家		图灵奖 2007	
	Edgar F. Codd	Edgar F. Codd	1923–2003	计算机科学家		图灵奖 1981	
	Edmund M. Clarke	Edmund M. Clarke	1945–2020	计算机科学家		图灵奖 2007	
	Edsger W. Dijkstra	Edsger W. Dijkstra	1930–2002	计算机科学家		图灵奖 1972	
	Edward Feigenbaum	Edward Feigenbaum	1936–?	计算机科学家		图灵奖 1994	
	Edward Witten	Edward Witten	1951–?	数学家		菲尔兹奖 1990	
	Edwin Catmull	Edwin Catmull	1945–?	计算机科学家		图灵奖 2019	
	Efim Zelmanov	Efim Zelmanov	1955–?	数学家		菲尔兹奖 1994	
	Elias M. Stein	Elias M. Stein	1931–2018	数学家		沃尔夫数学奖 1999	
	Elon Lindenstrauss	Elon Lindenstrauss	1970–?	数学家		菲尔兹奖 2010	
	Endre Szemerédi	Endre Szemerédi		数学家		阿贝尔奖 2012	
	Ennio De Giorgi	Ennio De Giorgi	1928–1996	数学家		沃尔夫数学奖 1990	
	Enrico Bombieri	Enrico Bombieri	1940–?	数学家		菲尔兹奖 1974	
	Fernando J. Corbató	Fernando J. Corbató	1926–2019	计算机科学家		图灵奖 1990	
	Frances E. Allen	Frances E. Allen	1932–2020	计算机科学家		图灵奖 2006	
	Fred Brooks	Fred Brooks	1931–2022	计算机科学家		图灵奖 1999	
	Friedrich Hirzebruch	Friedrich Hirzebruch	1927–2012	数学家		沃尔夫数学奖 1988	
	Geoffrey Hinton	Geoffrey Hinton	1947–?	计算机科学家		图灵奖 2018	
	George Lusztig	George Lusztig	1946–?	数学家		沃尔夫数学奖 2022	
	George Mostow	George Mostow	1923–2017	数学家		沃尔夫数学奖 2013	
	Gerd Faltings	Gerd Faltings	1954–?	数学家		菲尔兹奖 1986；阿贝尔奖 2026	
	Gilles Brassard	Gilles Brassard	1955–?	计算机科学家		图灵奖 2025	
	Gregory Lawler	Gregory Lawler	1955–?	数学家		沃尔夫数学奖 2019	
	Grigori Perelman	Grigori Perelman	1966–?	数学家		菲尔兹奖 2006	
	Grigory Margulis	Grigory Margulis	1946–?	数学家		菲尔兹奖 1978；沃尔夫数学奖 2005；阿贝尔奖 2020	
	Hadley Wickham	Hadley Wickham	1979–?	统计学家		考普斯会长奖 2019	
	Hans Lewy	Hans Lewy	1904–1988	数学家		沃尔夫数学奖 1984	
	Heisuke Hironaka	Heisuke Hironaka	1931–?	数学家		菲尔兹奖 1970	
	Herbert A. Simon	Herbert A. Simon	1916–2001	计算机科学家		图灵奖 1975	
	Hillel Furstenberg	Hillel Furstenberg	1935–?	数学家		沃尔夫数学奖 2006；阿贝尔奖 2020	
	Hong Wang	Hong Wang	1991–?	数学家		菲尔兹奖 2026	
	Hugo Duminil-Copin	Hugo Duminil-Copin	1985–?	数学家		菲尔兹奖 2022	
	Iain M. Johnstone	Iain M. Johnstone	1956–?	统计学家		考普斯会长奖 1995	
	Ilya Piatetski-Shapiro	Ilya Piatetski-Shapiro	1929–2009	数学家		沃尔夫数学奖 1990	
	Ingrid Daubechies	Ingrid Daubechies	1954–?	数学家		沃尔夫数学奖 2023	
	Isadore Singer	Isadore Singer		数学家		阿贝尔奖 2004	
	Ivan Sutherland	Ivan Sutherland	1938–?	计算机科学家		图灵奖 1988	
	Jack Dongarra	Jack Dongarra	1950–?	计算机科学家		图灵奖 2021	
	Jacob Tsimerman	Jacob Tsimerman	1988–?	数学家		菲尔兹奖 2026	
	Jacques Tits	Jacques Tits	1930–2021	数学家		沃尔夫数学奖 1993；阿贝尔奖 2008	
	James Arthur	James Arthur	1944–?	数学家		沃尔夫数学奖 2015	
	James H. Wilkinson	James H. Wilkinson	1919–1986	计算机科学家		图灵奖 1970	
	James Maynard	James Maynard	1987–?	数学家		菲尔兹奖 2022	
	James O. Berger	James O. Berger	1950–?	统计学家		考普斯会长奖 1985	
	Jean Bourgain	Jean Bourgain	1954–2018	数学家		菲尔兹奖 1994	
	Jean-Christophe Yoccoz	Jean-Christophe Yoccoz	1957–2016	数学家		菲尔兹奖 1994	
	Jean-François Le Gall	Jean-François Le Gall	1959–?	数学家		沃尔夫数学奖 2019	
	Jeff Rosenthal	Jeff Rosenthal	1967–?	统计学家		考普斯会长奖 2007	
	Jeffrey T. Leek	Jeffrey T. Leek	1980–?	统计学家		考普斯会长奖 2021	
	Jeffrey Ullman	Jeffrey Ullman	1942–?	计算机科学家		图灵奖 2020	
	Jesse Douglas	Jesse Douglas	1897–1965	数学家		菲尔兹奖 1936	
	范剑青	Jianqing Fan	1962–?	统计学家		考普斯会长奖 2000	
	Jim Gray	Jim Gray	1944–2012	计算机科学家		图灵奖 1998	
	John Backus	John Backus	1924–2007	计算机科学家		图灵奖 1977	
	John Cocke	John Cocke	1925–2002	计算机科学家		图灵奖 1987	
	John D. Storey	John D. Storey	1978–?	统计学家		考普斯会长奖 2015	
	John F. Nash Jr.	John F. Nash Jr.		数学家		阿贝尔奖 2015	
	John G. Thompson	John G. Thompson	1932–?	数学家		菲尔兹奖 1970；沃尔夫数学奖 1992；阿贝尔奖 2008	
	John Hopcroft	John Hopcroft	1939–?	计算机科学家		图灵奖 1986	
	John L. Hennessy	John L. Hennessy	1952–?	计算机科学家		图灵奖 2017	
	John McCarthy	John McCarthy	1927–2011	计算机科学家		图灵奖 1971	
	John Pardon	John Pardon	1989–?	数学家		菲尔兹奖 2026	
	John Tate	John Tate	1925–2019	数学家		沃尔夫数学奖 2002；阿贝尔奖 2010	
	Joseph B. Keller	Joseph B. Keller	1923–2016	数学家		沃尔夫数学奖 1996	
	Joseph Sifakis	Joseph Sifakis	1946–?	计算机科学家		图灵奖 2007	
	Judea Pearl	Judea Pearl	1936–?	计算机科学家		图灵奖 2011	
	刘军	Jun Liu	1965–?	统计学家		考普斯会长奖 2002	
	June Huh	June Huh	1983–?	数学家		菲尔兹奖 2022	
	Jürgen Moser	Jürgen Moser	1928–1999	数学家		沃尔夫数学奖 1994	
	Juris Hartmanis	Juris Hartmanis	1928–2022	计算机科学家		图灵奖 1993	
	Karen Uhlenbeck	Karen Uhlenbeck		数学家		阿贝尔奖 2019	
	Kathryn Roeder	Kathryn Roeder	1960–?	统计学家		考普斯会长奖 1997	
	Ken Thompson	Ken Thompson	1943–?	计算机科学家		图灵奖 1983	
	Kenneth E. Iverson	Kenneth E. Iverson	1920–2004	计算机科学家		图灵奖 1979	
	Kiyoshi Itō	Kiyoshi Itō	1915–2008	数学家		沃尔夫数学奖 1987	
	Klaus Roth	Klaus Roth	1925–2015	数学家		菲尔兹奖 1958	
	Kristen Nygaard	Kristen Nygaard	1926–2002	计算机科学家		图灵奖 2001	
	Larry A. Wasserman	Larry A. Wasserman	1959–?	统计学家		考普斯会长奖 1999	
	László Lovász	László Lovász	1948–?	数学家		沃尔夫数学奖 1999；阿贝尔奖 2021	
	Laurent Lafforgue	Laurent Lafforgue	1966–?	数学家		菲尔兹奖 2002	
	Lennart Carleson	Lennart Carleson	1928–?	数学家		沃尔夫数学奖 1992；阿贝尔奖 2006	
	Leonard Adleman	Leonard Adleman	1945–?	计算机科学家		图灵奖 2002	
	Leslie Lamport	Leslie Lamport	1941–?	计算机科学家		图灵奖 2013	
	Leslie Valiant	Leslie Valiant	1949–?	计算机科学家		图灵奖 2010	
